id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
81449,Super Stylish Central London Entire Flat,441736,Kris,"",Tower Hamlets,London,51.51163,-0.0668,Entire home/apt,"£140,00",184,2
81470,3 bedroom / 2 Bathroom house in West London,441886,William & Emilia,"",Hammersmith and Fulham,London,51.4971,-0.23354,Entire home/apt,"£300,00",78,4
81473,"Lush room in Crystal Palace, London",441881,Petra,"",Bromley,London,51.41642,-0.07645,Private room,"£40,00",61,1
81635,"Clerkenwell penthouse, huge terrace",443041,Carol,"",Islington,London,51.52842,-0.11141,Private room,"£99,00",54,2
81951,LONDON DETACHED HOUSE*ElecGates etc,445322,Richard,"",Havering,London,51.58519,0.15639,Entire home/apt,"£190,00",0,1
82272,New Room Central LondonZone1Balcony,447486,Mary,"",Southwark,London,51.49089,-0.09879,Private room,"£48,00",189,9
83027,Double Room 15mins to London Bridge,452174,Berna,"",Greenwich,London,51.46721,0.04371,Private room,"£25,00",1,1
83308,Luxury Queens Park Apartment,454121,Bradley,"",Brent,London,51.5372,-0.19262,Entire home/apt,"£120,00",30,2
84223,Ideal for Urban Explorers *5 star Designer home,460272,Antonia Clare,"",Southwark,London,51.48656,-0.10654,Private room,"£62,00",346,5
84532,"Cosy Double room London, River View",462165,Murielle,"",Hackney,London,51.57552,-0.06052,Private room,"£25,00",76,1
84640,Room near Alexandra Palace park.,462651,Maria,"",Haringey,London,51.58937,-0.12274,Private room,"£45,00",5,2
85111,"LUXURY, AMAZING LOCATION 4 BED HOUSE WITH PARKING",465847,Isabelle,"",Merton,London,51.41944,-0.20749,Entire home/apt,"£170,00",48,1
85191,Maisonette in Central London Zone 1,466353,Elisabetta,"",Lambeth,London,51.48968,-0.11637,Private room,"£58,00",409,1
85406,Spacious 2bd 2bth Victorian home central London,467835,Cass,"",Westminster,London,51.51848,-0.18554,Entire home/apt,"£145,00",35,3
86084,Family friendly flat in Putney in a great location,472532,Alex And Liam,"",Wandsworth,London,51.46025,-0.21483,Entire home/apt,"£150,00",33,1
