id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
276617,Potts Point Apt - Sunny with Views,1261500,Hugh,"",Sydney,Sydney,"-33,8721000","151,2249291",Entire home/apt,"$140,00",242,5
278132,Harbourside North Sydney. Room with Bathroom,451677,Anita,"",North Sydney,Sydney,"-33,8333000","151,1893369",Private room,"$69,00",13,2
279082,Beach House - Surf Beach is 100m,1455772,Kate,"",Pittwater,Sydney,"-33,6576000","151,3222199",Entire home/apt,"$720,00",0,1
279869,Coogee Beach Holiday Apartment,1459337,Brian,"",Randwick,Sydney,"-33,9165000","151,2564962",Entire home/apt,"$251,00",4,2
283378,Wow factor Harbour & Fire works,1475640,Joe,"",Sydney,Sydney,"-33,8773000","151,2209494",Private room,"$275,00",0,1
286924,Milsons Point Luxury Penthouse,91931192,Zara,"",North Sydney,Sydney,"-33,8486000","151,2116887",Entire home/apt,"$1045,00",55,19
287388,Two bedroom Terrace House in Alexandria,1495023,Jess,"",Sydney,Sydney,"-33,8989000","151,1982403",Entire home/apt,"$199,00",3,1
288671,Warehouse Loft Conversion,241834,Sonke,"",Sydney,Sydney,"-33,8787000","151,2153248",Entire home/apt,"$220,00",17,1
290146,"Bellevue Hill Designer, Beaches, City and Views",113874,Bondi Beach Holiday Homes,"",Woollahra,Sydney,"-33,8868000","151,2586688",Entire home/apt,"$205,00",18,53
290929,STYLISH 2 BED + PARKING PADDINGTON,1508328,Edwina,"",Woollahra,Sydney,"-33,8847000","151,2368656",Entire home/apt,"$239,00",6,1
291782,"BONDI  ROOM IN ARTY HOUSE,  WIFI",107189,Gab,"",Waverley,Sydney,"-33,8944000","151,2533138",Private room,"$71,00",5,1
292913,BONDI---PRIVATE ROOM. .GREAT APARTMENT CLOSE TO BB,1464461,Betty,"",Waverley,Sydney,"-33,8897000","151,2627604",Private room,"$75,00",0,2
