id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
5050608,Newly Built condo ! FREE breakfast & cafe,1258947,Koichi (Ken),Taito Ku,"",Tokyo,Entire home/apt,¥8070,"$54,07",43,2,-1,'-,Profesional
5070495,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5380,"$36,05",67,10,-1,'-,Profesional
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,Koto Ku,"",Tokyo,Entire home/apt,¥10007,"$67,05",182,3,-1,'-,Profesional
5111244,Good access to Shinjuku & Nakano,26407522,Yoko,Nakano Ku,"",Tokyo,Private room,¥3228,"$21,63",147,5,-1,'-,Profesional
5128066,家族でのご利用にお得なおしゃれな一軒家､まるまるﾌﾟﾗﾝ｡,26509472,里枝,Hino Shi,"",Tokyo,Private room,¥20014,"$134,09",2,2,-1,'-,Profesional
5128293,Shinjuku ShareHouse Dormitory3  with Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Shared room,¥3981,"$26,67",117,13,-1,'-,Profesional
5154958,Monthly Lease apartment Near Shibuya 5FLQuiet WiFi,26658406,Hitoshi,Setagaya Ku,"",Tokyo,Entire home/apt,¥13020,"$87,23",62,5,-1,'-,Profesional
5188591,calm room-B Shinjuku.3min train,24026566,Kazu,Nakano Ku,"",Tokyo,Private room,¥3874,"$25,96",177,3,-1,'-,Profesional
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,Shibuya Ku,"",Tokyo,Entire home/apt,¥34863,"$233,58",188,2,-1,'-,Profesional
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5918,"$39,65",75,10,-1,'-,Profesional
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,Shibuya Ku,"",Tokyo,Entire home/apt,¥33679,"$225,65",164,2,-1,'-,Profesional
5255533,Hiroo 103 - Family 2 bedroom - Quiet Neighborhood,15330352,Lauren & Tats,Minato Ku,"",Tokyo,Entire home/apt,¥27976,"$187,44",110,2,-1,'-,Profesional
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5380,"$36,05",43,10,-1,'-,Profesional
5262658,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5918,"$39,65",97,10,-1,'-,Profesional
5273171,ROOM IN CENTRAL TOKYO!!!,24339628,Taichiro,Shinagawa Ku,"",Tokyo,Private room,¥4950,"$33,17",207,4,-1,'-,Profesional
5297168,"Monthly apartment! Near Shibuya  Quiet,11fl  Wi-Fi",26658406,Hitoshi,Setagaya Ku,"",Tokyo,Entire home/apt,¥13020,"$87,23",74,5,-1,'-,Profesional
5318866,Newly Built Petit Hotel ! FREE breakfast & cafe.,1258947,Koichi (Ken),Taito Ku,"",Tokyo,Private room,¥9684,"$64,88",26,2,-1,'-,Profesional
5319992,"Kokubunji 10min!!Easy to Tokyo,Shinjuku&Kichijoji",21027438,Ai,Koganei Shi,"",Tokyo,Entire home/apt,¥4519,"$30,28",77,5,-1,'-,Profesional
5322905,"TOKYO!! JAPANESE STUDIO, WIFI,  KOKUBUNJI2",21027438,Ai,Kokubunji Shi,"",Tokyo,Entire home/apt,¥4519,"$30,28",52,5,-1,'-,Profesional
5322944,"TOKYO!! STUDIO, WIFI, JAPANESE KOKUBUNJI3!!",21027438,Ai,Kokubunji Shi,"",Tokyo,Entire home/apt,¥6456,"$43,26",58,5,-1,'-,Profesional
5380507,Good access to Shinjuku&Nakano 沼袋駅,26407522,Yoko,Nakano Ku,"",Tokyo,Entire home/apt,¥5272,"$35,32",121,5,-1,'-,Profesional
5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,Shinjuku Ku,"",Tokyo,Entire home/apt,¥12051,"$80,74",265,2,-1,'-,Profesional
5414578,One Room Apartment with own bathroom (A3),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥10975,"$73,53",14,19,-1,'-,Profesional
5447082,Roppongi/Akasaka Extremely CLEAN!!!,28254151,Radoslaw,Minato Ku,"",Tokyo,Entire home/apt,¥6456,"$43,26",94,2,-1,'-,Profesional
5527486,One-Room Apartment with own Bathroom (A2),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥9039,"$60,56",12,19,-1,'-,Profesional
5562958,Room in Central Tokyo!,24339628,Taichiro,Shinagawa Ku,"",Tokyo,Private room,¥4950,"$33,17",72,4,-1,'-,Profesional
5563021,Room in Central Tokyo!!,24339628,Taichiro,Shinagawa Ku,"",Tokyo,Private room,¥6026,"$40,37",69,4,-1,'-,Profesional
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,HOMES At World,Nakano Ku,"",Tokyo,Private room,¥3228,"$21,63",181,3,-1,'-,Profesional
5572336,"Cozy shared house near SKYTREE, ASAKUSA, UENO! 205",1517461,Kenji,Sumida Ku,"",Tokyo,Private room,¥3013,"$20,19",69,3,-1,'-,Profesional
5574930,"Licensed,RH 1stop Ikebukuro 5min Stasion, 5th Year",22193183,Kyoko,Toshima Ku,"",Tokyo,Entire home/apt,¥5918,"$39,65",169,7,-1,'-,Profesional
5583920,One-Room Apartment with Own Bathroom (A5-1),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥16033,"$107,42",11,19,-1,'-,Profesional
5585604,Private Room with Shared Bath ( annex),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Private room,¥7532,"$50,46",12,19,-1,'-,Profesional
5595448,One-Room Apartment with own Bathroom (A2),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥9039,"$60,56",13,19,-1,'-,Profesional
5620131,Roppongi arer.Narita 85 .Haneda 30 min(1 ~3 beds),32575084,Shie,Minato Ku,"",Tokyo,Private room,¥5272,"$35,32",8,4,-1,'-,Profesional
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥7532,"$50,46",37,10,-1,'-,Profesional
5636340,"Cozy shared house near SKYTREE, ASAKUSA, UENO! 204",1517461,Kenji,Sumida Ku,"",Tokyo,Private room,¥3551,"$23,79",63,3,-1,'-,Profesional
5641920,#312 Furnished Private Apt.,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥7317,"$49,02",21,10,-1,'-,Profesional
5643408,One Room Apartment with own bathroom (A3),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥10975,"$73,53",13,19,-1,'-,Profesional
5655387,Shared & Guest House BLENDIA #1,29311815,Motoki&Yuta,Meguro Ku,"",Tokyo,Shared room,¥2367,"$15,86",200,6,-1,'-,Profesional
5661072,Shinjuku Hyakunincho,21504159,Michi,Shinjuku Ku,"",Tokyo,Entire home/apt,¥6994,"$46,86",103,6,-1,'-,Profesional
5684851,小笠原の街の中心にある一軒家｡ﾋﾞｰﾁまで徒歩3分｡夜には満天の星空｡,16313055,Ganji,Ogasawara Mura,"",Tokyo,Shared room,¥6456,"$43,26",9,5,-1,'-,Profesional
