id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
336834,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Justicia,Centro,Madrid,Entire home/apt,"65,00 €","$75,40",44,1,1,Disponibilidad baja,particular
336869,Direct to Plaza Mayor!,1713524,Oliver,Sol,Centro,Madrid,Private room,"87,00 €","$100,92",105,2,0,Disponibilidad baja,particular
337292,Principe de Vergara. Homey Room,1714866,Francisco,Ciudad Jardín,Chamartín,Madrid,Private room,"35,00 €","$40,60",7,1,0,Disponibilidad baja,particular
339144,COZY APARTMENT MADRID MALASAÑA,1721158,Pau&Patricia,Universidad,Centro,Madrid,Entire home/apt,"64,00 €","$74,24",124,2,258,Disponibilidad alta,particular
339171,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Cortes,Centro,Madrid,Entire home/apt,"82,00 €","$95,12",157,1,304,Disponibilidad alta,particular
339813,Room in Madrid Center good ambient,1713273,Antonio,Cortes,Centro,Madrid,Entire home/apt,"80,00 €","$92,80",2,1,364,Disponibilidad alta,particular
341939,Self-catering Apartment in Madrid,1694537,Miguel Angel & Iaia,Embajadores,Centro,Madrid,Entire home/apt,"55,00 €","$63,80",167,1,289,Disponibilidad alta,particular
342095,Lovely apartment CENTRAL MADRID !,1703448,Elena,Embajadores,Centro,Madrid,Entire home/apt,"79,00 €","$91,64",32,2,363,Disponibilidad alta,particular
342557,Berlin's Park at your window. Parking included.,1738288,Jose Angel,Ciudad Jardín,Chamartín,Madrid,Private room,"70,00 €","$81,20",55,1,343,Disponibilidad alta,particular
342952,Special price 29€ per.Center.Wifi U,740087,Jesus&Sonia,Cortes,Centro,Madrid,Entire home/apt,"59,00 €","$68,44",116,8,340,Disponibilidad alta,profesional
345195,DUPLO Heart of Madrid/Malasaña,1095831,Rosalind  & Tino,Universidad,Centro,Madrid,Entire home/apt,"89,00 €","$103,24",4,4,0,Disponibilidad baja,profesional
345230,GOYA apartment.Heart of Madrid,1095831,Rosalind  & Tino,Universidad,Centro,Madrid,Private room,"77,00 €","$89,32",4,4,89,Disponibilidad baja,profesional
345233,MIRO apartment.Heart of Madrid,1095831,Rosalind  & Tino,Universidad,Centro,Madrid,Private room,"77,00 €","$89,32",4,4,89,Disponibilidad baja,profesional
345249,CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,1751133,The Punset Family,Almenara,Tetuán,Madrid,Entire home/apt,"166,00 €","$192,56",28,2,325,Disponibilidad alta,particular
347510,Classy Central Family Alcalá Deluxe,1751133,The Punset Family,Fuente del Berro,Salamanca,Madrid,Entire home/apt,"223,00 €","$258,68",42,2,356,Disponibilidad alta,particular
354838,Entire apartment Plaza de España!,1496188,Juanpe,Universidad,Centro,Madrid,Entire home/apt,"70,00 €","$81,20",38,2,0,Disponibilidad baja,particular
361053,"Cozy, luminous  excellenty placed",1729503,Ana,Niño Jesús,Retiro,Madrid,Entire home/apt,"100,00 €","$116,00",155,2,149,Disponibilidad media,particular
363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Sol,Centro,Madrid,Private room,"44,00 €","$51,04",398,1,358,Disponibilidad alta,particular
