id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6474015;Design flat in Darsena;33821269;Ferdinando;-;NAVIGLI;Milán;Entire home/apt;200;232;2;27;1;364;Disponibilidad alta;particular
6475980;Nuovo bilocale in zona Fiera Milano;33832650;Daniela;-;DE ANGELI - MONTE ROSA;Milán;Entire home/apt;85;98,6;2;19;2;361;Disponibilidad alta;particular
6480859;MilanoGuestHouse - casa Passione;33865391;Marco;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;80;92,8;1;31;3;354;Disponibilidad alta;profesional
6483611;Charming Apt Tortona designdistrict;138138;Milano Short Term Rent;-;TORTONA;Milán;Entire home/apt;57;66,12;2;159;17;284;Disponibilidad alta;profesional
6483878;Casetta del Parco;10242625;Nicoletta;-;PADOVA;Milán;Entire home/apt;65;75,4;3;14;1;71;Disponibilidad baja;particular
6486642;Comfortable studio in the Milan Isola neighborhood;26196893;Stefano;-;ISOLA;Milán;Entire home/apt;75;87;3;12;1;0;Disponibilidad baja;particular
6488008;MilanoGuestHouse - casa Armonia;33865391;Marco;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;66;76,56;1;44;3;346;Disponibilidad alta;profesional
6490451;LOFT DESIGN MILANO;33919795;Pasquale;-;VILLAPIZZONE;Milán;Entire home/apt;95;110,2;4;14;1;331;Disponibilidad alta;particular
6490904;Comfortable Living Room in Milano;4945702;Adriana;-;MECENATE;Milán;Private room;40;46,4;1;81;1;364;Disponibilidad alta;particular
6496732;Navigli Tortona Design flat;1365848;Antonio;-;TORTONA;Milán;Entire home/apt;75;87;2;9;1;38;Disponibilidad baja;particular
6498137;Relax & Style close to City Center;6593196;Francesco;-;UMBRIA - MOLISE;Milán;Entire home/apt;69;80,04;2;24;1;336;Disponibilidad alta;particular
6499536;Appartamento accogliente e colorato;33971971;Cristina;-;BANDE NERE;Milán;Private room;60;69,6;1;1;1;363;Disponibilidad alta;particular
6500620;spacious apartment near Repubblica;33978848;Giovanni;-;CENTRALE;Milán;Entire home/apt;90;104,4;2;16;1;159;Disponibilidad media;particular
6502802;Appartamento 400m da metro linea 1;19633581;Sara;-;LORENTEGGIO;Milán;Entire home/apt;126;146,16;1;2;2;0;Disponibilidad baja;particular
6507971;Brera, MM2 Garibaldi, Corso Como con balconcino;21176643;Cristina;-;GARIBALDI REPUBBLICA;Milán;Entire home/apt;70;81,2;1;49;2;38;Disponibilidad baja;particular
6509761;Milan Skyline Apartment;34033404;Hugowiz Sas;-;LORETO;Milán;Entire home/apt;71;82,36;1;1;1;336;Disponibilidad alta;particular
6511362;Stanza  Milano Bicocca;34042976;Elisa;-;BICOCCA;Milán;Private room;43;49,88;1;50;2;0;Disponibilidad baja;particular
6511373;vicinanze fiera Milano Rho;34042837;Delly;-;QUARTO OGGIARO;Milán;Private room;35;40,6;1;0;1;0;Disponibilidad baja;particular
